SampleID,LAP,MMT,CMC,CNF,SLK,AGR,ALG,CAR,CHS,PEC,PUL,STA,GEL,GLU,ZIN,GLY,FFA,LAC,LEV,PHA,SRB,SUA,XYL,Detachability,FlatnessUni,Feasibility,Detachability_STD,FlatnessUni_STD,Feasibility_STD,Weight
aTS-030B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1553,0.0,0.3312,0.11,0.0,0.0,0.0,0.0,0.0,0.015,0.3884,0.0,1.0,0.0,0.0,0.0,0.0,1.0
aTS-030C,0.1799,0.0,0.0,0.0,0.0,0.3496,0.0779,0.0406,0.0,0.0,0.0,0.0,0.0,0.3521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-030D,0.0,0.2363,0.1382,0.0,0.0,0.0,0.2233,0.0,0.0,0.0,0.0,0.0,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2172,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-030E,0.1169,0.0,0.0,0.3758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3034,0.1889,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-030F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2966,0.0,0.1584,0.0,0.015,0.0,0.3326,0.0,0.0,0.0,0.0,0.1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0310,0.0,0.0,0.3268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.3677,0.257,0.0,0.0,0.0334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0311,0.0184,0.0,0.0,0.0734,0.0,0.0,0.0,0.0,0.0,0.0,0.0287,0.0,0.8542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0312,0.0,0.0,0.0,0.0,0.0,0.3422,0.0,0.3683,0.0,0.0,0.0,0.0,0.0,0.0697,0.0,0.0,0.0,0.1326,0.0,0.0,0.0,0.0871,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0313,0.0,0.0,0.0244,0.0661,0.0,0.0,0.3783,0.3897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1414,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0314,0.5595,0.2388,0.0255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.1612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0315,0.0,0.0175,0.3171,0.0,0.0,0.0,0.0,0.3608,0.0,0.0,0.0,0.0,0.0,0.0,0.1743,0.0,0.0,0.0,0.0,0.0,0.0,0.1303,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0316,0.2535,0.0,0.0,0.0,0.0,0.0,0.0,0.2555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1168,0.0,0.3514,0.0,0.0227,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0317,0.0,0.0,0.0,0.0,0.0,0.0,0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.4353,0.0,0.0826,0.0,0.0,0.0436,0.1296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0318,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0872,0.6927,0.0,0.1901,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0319,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.1691,0.3658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2961,0.0,0.154,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-031A,0.0,0.0,0.0,0.0358,0.0,0.1253,0.0,0.0,0.0,0.0,0.0,0.0,0.2343,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2996,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-031B,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.4773,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.0,0.0,0.426,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-031C,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1743,0.0,0.4051,0.0,0.0,0.0,0.0,0.0,0.0,0.3426,0.0,0.0,0.063,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-031D,0.0,0.0,0.1304,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7119,0.0949,0.0,0.0,0.0,0.0,0.0,0.0389,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-031E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0264,0.0,0.0,0.3803,0.0,0.2634,0.3149,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0401,0.1271,0.0,0.2426,0.0,0.4278,0.0,0.0269,0.1756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0402,0.0,0.0,0.0,0.0697,0.285,0.0,0.1968,0.0,0.0,0.0,0.2626,0.0,0.0,0.0,0.1859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0403,0.0,0.0,0.0,0.0,0.0,0.2714,0.0,0.0576,0.0,0.0,0.3681,0.0,0.0,0.0,0.0,0.028,0.0,0.2748,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0404,0.3239,0.0,0.2783,0.0,0.0556,0.0,0.0,0.2608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0405,0.0,0.0,0.015,0.3178,0.0,0.0,0.0,0.361,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2911,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0406,0.0,0.0,0.2663,0.0,0.0,0.0,0.0471,0.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1868,0.2467,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0407,0.1131,0.0,0.0,0.0,0.274,0.0,0.0,0.2534,0.0,0.0,0.2731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0863,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0408,0.0,0.221,0.3562,0.0993,0.0,0.0,0.0,0.1139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0409,0.0,0.0,0.0,0.2459,0.0,0.0,0.038,0.0,0.0,0.0,0.4669,0.0,0.2342,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
